Crash Year,Crash Report Number,Vehicle Sequence Number,Vehicle Make,Vehicle Model,Vehicle Color,Vehicle Style,Vehicle Body Type Code,Vehicle Year,Vehicle ID Number
2017,869994120,2,MOTI,,BLK,MP,12,2016,RFVPMP208G1011458
2017,869994190,2,HOND,,BLK,MC,11,2016,MLHRC7409G5200192
2017,869994830,2,ZHNG,,GRY,MP,12,2015,L5YACBPA9F1105069
2017,869995000,2,KYMC,,ONG/,MC,12,2014,LC2U6A023EC001606
2017,869995190,1,ZHNG,,RED,MS,12,2015,L5YACBPA6F1107507
2017,869995210,2,MOTI,,RED,,12,2016,RFVPAP5A4G1117984
2017,869995230,1,HOND,,RED,MC,11,2017,MLHMD4410H5002293
2017,869995780,1,KAWK,,RED/,MC,11,2010,JKAEXMJ15ADA64560
2017,869996190,1,MOTI,,GRY,MC,12,2016,L4HGBTB12G6000269
2017,869996620,2,SUZI,,BLK,MC,11,2004,JS1GT75A342102428
2017,869997150,1,MOTI,,BLU,MP,12,2018,RFVPAP5A8J1122130
2017,869998330,1,ZHNG,,YEL,MS,12,2017,L5YACBPA6H1112211
2017,869998430,1,ZHNG,,WHI,,11,2016,L5YACBPA8G1118364
2017,869998450,1,JIAJ,,GRY,MP,12,2017,LLPVGBAA2H1E21609
2017,869998590,2,YAMA,,BLK,MS,12,2002,LPRSA20A62A000604
2017,869998620,2,RIYA,,RED,MS,11,2016,LEHTCB01XGR000062
2017,869999250,2,HOND,,BLK,MC,11,2007,JH2SC48087M501126
2017,869999300,1,KAW,,BLU,MC,11,2013,JKBZXJE10DA002363
2017,869999870,1,SANY,,BLU,MC,11,2018,RFGBS1D0XJXAE0741
2017,870000020,1,TAOI,,BLU,MC,11,2013,L9NTEACX2D1380165
2017,870000290,2,RIYA,,BLK,MS,12,2016,LEHTCB014GR001403
2017,870001030,1,HOND,,SIL/,MS,12,2008,JH2AF58418K400924
2017,870001210,2,ZHNG,,TEA,MP,12,2015,L5YACBPA3F1107478
2017,870001350,2,YAMA,,RED,MC,11,2007,JYAVP25E87A001270
